Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0397576730779188,-0.0193564999839691,-0.0391654560144318,0,0,0,102.867303195028,2.4436126563851,0.00330590044188402,0.167289560017964,3.43143183338679,0.0623789722811827,3.64685457880825,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/base_link.STL,,v2_simplified_assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,0.0051016277034862,-0.030000000000002,-0.00883712628242247,0,0,0,3.63792559240615,0.0501393580967394,-1.08357299378418E-19,-8.37248749194007E-07,0.0986432390550648,1.67436686126197E-16,0.0501416739249588,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/right_wheel_link.STL,,sfWheels-2,Origin_right_wheel_joint2,Axis_right_wheel_joint2,right_wheel_joint,continuous,-0.0782370331711224,-0.291972990052419,-0.168374239027783,0,0,0,base_link,0,1,0,,,,,,,0,0.2,,,,
left_wheel_link,0.00019641498461731,0.0300000000000018,-7.01814500627673E-05,0,0,0,3.63792559240615,0.0501416166910778,-4.04451943510893E-18,-9.11182521543606E-07,0.0986432390550647,1.94384109555964E-16,0.0501394153306204,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/left_wheel_link.STL,,sfWheels-1,Origin_left_wheel_joint2,Axis_left_wheel_joint2,left_wheel_joint,continuous,-0.0732,0.27496,-0.17701,0,0,0,base_link,0,1,0,,,,,,,0,0.2,,,,
c_rr_link,-0.0451841547006857,-0.0495150883715779,0.0403769854454999,0,0,0,0.121211258399187,0.000183879326955444,2.26483161983074E-11,-3.32770031866735E-12,0.000178527913603531,-2.16822895135042E-05,2.37333780216088E-05,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_rr_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_rr_link.STL,,caster_modified-4,Origin_c_rr_joint2,Axis_c_rr_joint,c_rr_joint,continuous,-0.34822,-0.32107,-0.27701,0,0,0,base_link,0,0,1,,,,,,,0,0.01,,,,
wheel_rr_link,-0.0401191911455145,-0.0782732802971556,0.00862243945121771,0,0,0,1.6546211917139,0.00469812484295985,3.0986980923837E-10,2.19470322426369E-19,0.00853457249449096,-1.1422522877663E-10,0.00469812484295985,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_rr_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_rr_link.STL,,caster_wheel-4,Origin_wheel_rr_joint2,Axis_wheel_rr_joint2,wheel_rr_joint,continuous,-0.0050649,-0.026911,-0.0086224,0,0,0,c_rr_link,0,1,0,,,,,,,0,0.01,,,,
c_rl_link,-0.0310419563112246,0.0352158260013177,0.0403769854454989,0,0,0,0.121211258399187,0.000183879326955444,2.26483161950639E-11,3.32770035496429E-12,0.000178527913603531,2.16822895135046E-05,2.37333780216089E-05,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_rl_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_rl_link.STL,,caster_modified-3,Origin_c_rl_joint2,Axis_c_rl_joint,c_rl_joint,continuous,-0.3413,0.30405,-0.27701,0,0,0,base_link,0,0,1,,,,,,,0,0.01,,,,
wheel_rl_link,-0.0219456935418381,0.0639740179268966,-0.00415420662650179,0,0,0,1.65462119171389,0.0046981248429598,-1.37193710697476E-10,-1.71973499121677E-19,0.00853457249449089,-3.00407370003487E-10,0.0046981248429598,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_rl_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_rl_link.STL,,caster_wheel-2,Origin_wheel_rl_joint2,Axis_wheel_rl_joint2,wheel_rl_joint,continuous,-0.0090963,0.026911,0.0041542,0,0,0,c_rl_link,0,1,0,,,,,,,0,0.01,,,,
c_fl_link,3.13828648068615E-08,0.00433096505375724,0.0403769854455023,0,0,0,0.121211258399187,0.000183879326955444,2.26483161946498E-11,3.3277003851598E-12,0.000178527913603531,2.16822895135046E-05,2.37333780216089E-05,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_fl_link.STL,,caster_modified-1,Origin_c_fl_joint2,Axis_c_fl_joint,c_fl_joint,continuous,0.27689,0.30405,-0.27701,0,0,0,base_link,0,0,1,,,,,,,0,0.01,,,,
wheel_fl_link,0.00446139900539494,0.0330891569793361,-0.00894963233404278,0,0,0,1.65462119171389,0.00469812484295982,-3.28553669286032E-10,1.63655263306549E-18,0.0085345724944909,-3.34543045495122E-11,0.00469812484295982,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_fl_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_fl_link.STL,,caster_wheel-1,Origin_wheel_fl_joint2,Axis_wheel_fl_joint2,wheel_fl_joint,continuous,-0.0044614,0.026911,0.0089496,0,0,0,c_fl_link,0,-1,0,,,,,,,0,0.01,,,,
c_fr_link,-3.13828649178838E-08,-0.00433096505375735,0.0403769854454989,0,0,0,0.121211258399187,0.000183879326955444,2.26483162486997E-11,-3.32769997600903E-12,0.000178527913603531,-2.16822895135042E-05,2.37333780216088E-05,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/c_fr_link.STL,,caster_modified-2,Origin_c_fr_joint2,Axis_c_fr_joint,c_fr_joint,continuous,0.28382,-0.32107,-0.27701,0,0,0,base_link,0,0,1,,,,,,,0,0.01,,,,
wheel_fr_link,5.55111512312578E-17,-0.05,1.66533453693773E-16,0,0,0,1.65462119171388,0.0046981248429598,-6.92222670806783E-11,3.44437219170415E-19,0.00853457249449086,-3.2291635961725E-10,0.0046981248429598,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_fr_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/wheel_fr_link.STL,,caster_wheel-3,Origin_wheel_fr_joint2,Axis_wheel_fr_joint2,wheel_fr_joint,continuous,0,-0.01,0,0,0,0,c_fr_link,0,1,0,,,,,,,0,0.01,,,,
chair_link,-0.186634259898291,0.000154601290753766,0.685315360247557,0,0,0,114.06700966343,9.01362340563564,0.0220781525155632,2.75872047758239,10.1495034165686,0.0794043830621217,6.74522524259257,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/chair_link.STL,1,1,1,0.3,0,0,0,0,0,0,package://wheelchair_gp_description2/meshes/chair_link.STL,,sfHelm Chair_modified-1,Origin_chair_joint2,Axis_chair,chair_joint,fixed,0.085065,-0.021973,-0.21301,0,0,0,base_link,0,0,0,,,,,,,0,0,,,,
