Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0393981982931111,0.039140937433326,-0.0192942548126665,0,0,0,102.779125185667,2.42852161898811,-0.168870442034771,0.00607091134061258,3.61718155630895,-0.0626572771723993,3.41666653629476,0,0,0,0,0,0,package://wheelchair_gp/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/base_link.STL,,v2_simplified_assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,-0.0300000000000016,-2.32849869929719E-05,0.000207272987858831,0,0,0,3.63792559240615,0.0986432390550648,1.18573910307182E-16,7.22790158174928E-17,0.0501391243760128,-3.24195983610748E-07,0.0501419076456854,0,0,0,0,0,0,package://wheelchair_gp/meshes/right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/right_wheel_link.STL,,sfWheels-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.0732,0.17701,-0.29197,0.52786,-1.5708,0,base_link,1,0,0,,,,,,,,0.3,,,,
left_wheel_link,0.030000000000002,-2.32849869920837E-05,0.000207272987859185,0,0,0,3.63792559240615,0.0986432390550647,1.882808452117E-16,-4.84967738954016E-17,0.0501391243760127,-3.24195983611615E-07,0.0501419076456854,0,0,0,0,0,0,package://wheelchair_gp/meshes/left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/left_wheel_link.STL,,sfWheels-1,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.0732,0.17701,0.27496,0.2313,-1.5708,0,base_link,1,0,0,,,,,,,,0.3,,,,
c_fr_link,3.13828649178838E-08,0.00433096505375735,0.0403769854454989,0,0,0,0.121211258399187,0.000183879326955444,2.26483162485928E-11,3.32769997596411E-12,0.000178527913603531,2.16822895135042E-05,2.37333780216088E-05,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_fr_link.STL,,caster_modified-2,Origin_c_fr_joint,Axis_c_fr_joint,c_fr_joint,fixed,0.283824627602434,0.277013089293038,-0.321068087348177,-1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
wheel_fr_link,-8.32667268468867E-17,-1.11022302462516E-16,-0.0330891569793349,0,0,0,1.65462119171389,0.00469812484295983,4.33680868994202E-19,3.30252475651864E-10,0.00469812484295983,8.17478812773668E-18,0.00853457249449091,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_fr_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_fr_link.STL,,caster_wheel-3,Origin_wheel_fr_joint,Axis_wheel_fr_joint,wheel_fr_joint,continuous,0,0.026911,0,1.5708,0.69863,0,c_fr_link,0,0,1,,,,,,,,0.03,,,,
c_fl_link,3.13828648623726E-08,0.0043309650537573,0.0403769854454989,0,0,0,0.121211258399187,0.000183879326955444,2.26483161923596E-11,3.32770037806617E-12,0.000178527913603531,2.16822895135046E-05,2.37333780216089E-05,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_fl_link.STL,,caster_modified-1,Origin_c_fl_joint,Axis_c_fl_joint,c_fl_joint,fixed,0.27689495464306,0.277013089293036,0.30405178020271,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
wheel_fl_link,3.7470027081099E-16,1.27675647831893E-15,-0.0330891569793351,0,0,0,1.65462119171388,0.00469812484295979,1.51788304147971E-18,3.30252468249497E-10,0.00469812484295979,8.77676287766096E-18,0.00853457249449084,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_fl_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_fl_link.STL,,caster_wheel-1,Origin_wheel_fl_joint,Axis_wheel_fl_joint,wheel_fl_joint,continuous,0,0.026911,0,1.5708,-0.46245,0,c_fl_link,0,0,1,,,,,,,,0.03,,,,
c_rr_link,3.13828649178838E-08,0.00433096505375735,0.0403769854454989,0,0,0,0.121211258399187,0.000183879326955444,2.26483161972894E-11,3.32770029958626E-12,0.000178527913603531,2.16822895135042E-05,2.37333780216088E-05,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_rr_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/c_rr_link.STL,,caster_modified-4,Origin_c_rr_joint,Axis_c_rr_joint,c_rr_joint,fixed,-0.34822491290783,0.277013089293035,-0.321068087348177,-1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
wheel_rr_link,-2.77555756156289E-17,-1.11022302462516E-16,-0.0330891569793349,0,0,0,1.65462119171389,0.00469812484295982,-4.33680868994202E-19,3.302524894883E-10,0.00469812484295982,1.23951450689225E-17,0.00853457249449088,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_rr_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://wheelchair_gp/meshes/wheel_rr_link.STL,,caster_wheel-4,Origin_wheel_rr_joint,Axis_wheel_rr_joint,wheel_rr_joint,continuous,0,0.026911,0,-1.5708,0.53111,3.1416,c_rr_link,0,0,1,,,,,,,,0.03,,,,
chair_link,-0.186634259898291,0.695315360247557,-0.000154601290756128,0,0,0,114.06700966343,9.01362340563565,2.75872047758239,-0.0220781525155727,6.74522524259257,-0.0794043830621098,10.1495034165686,0,0,0,0,0,0,package://wheelchair_gp/meshes/chair_link.STL,1,1,1,0.3,0,0,0,0,0,0,package://wheelchair_gp/meshes/chair_link.STL,,sfHelm Chair_modified-1,Origin_chair_joint,Axis_chair_joint,chair_joint,fixed,0.0850649844123319,0.223013089293032,-0.0219729900524205,-3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
